country_name,country_code,year,gdp_usd
Kazakhstan,KAZ,2024,291480274648.826
Kenya,KEN,2024,120339557905.932
Kiribati,KIR,2024,307862564.489711
"Korea, Rep.",KOR,2024,1875388209406.8
Kosovo,XKX,2024,11197246322.588
Kuwait,KWT,2024,160227273053.334
Kyrgyz Republic,KGZ,2024,17478259659.2625
Lao PDR,LAO,2024,16502933121.3379
Latvia,LVA,2024,43684254432.3609
Lesotho,LSO,2024,2271759454.51107
Liberia,LBR,2024,4779300900.0
Libya,LBY,2024,48487151215.345
Lithuania,LTU,2024,84869215513.3648
Luxembourg,LUX,2024,93279851863.4062
"Macao SAR, China",MAC,2024,49467258923.3244
Madagascar,MDG,2024,17420501490.1231
Malawi,MWI,2024,11316411329.4619
Malaysia,MYS,2024,422227005428.688
Maldives,MDV,2024,7061608267.25451
Mali,MLI,2024,26794747239.8805
Malta,MLT,2024,24971574502.4475
Marshall Islands,MHL,2024,290108489.990234
Mauritania,MRT,2024,10908045686.8808
Mauritius,MUS,2024,14937861786.17
Mexico,MEX,2024,1856365616165.94
"Micronesia, Fed. Sts.",FSM,2024,471425099.488675
Moldova,MDA,2024,18200340853.6517
Monaco,MCO,2024,11125783372.4794
Mongolia,MNG,2024,23794540024.5132
Montenegro,MNE,2024,8270016670.86774
Morocco,MAR,2024,160610994054.734
Mozambique,MOZ,2024,22745341305.0622
Myanmar,MMR,2024,74068349523.8095
Namibia,NAM,2024,13372354511.716
Nauru,NRU,2024,162588620.632234
Nepal,NPL,2024,42914268286.7109
Netherlands,NLD,2024,1214927698572.66
New Caledonia,NCL,2024,8548919387.12607
New Zealand,NZL,2024,260172385097.616
Nicaragua,NIC,2024,19693982967.5926
Niger,NER,2024,19876128485.7857
Nigeria,NGA,2024,252261880141.151
North Macedonia,MKD,2024,16951682245.4202
Norway,NOR,2024,483592648313.301
Oman,OMN,2024,107137198769.386
Pakistan,PAK,2024,371570000121.266
Panama,PAN,2024,86523959131.7472
Papua New Guinea,PNG,2024,31800428265.5246
Paraguay,PRY,2024,44458118397.4445
Peru,PER,2024,289221969062.941
Philippines,PHL,2024,461617509782.355
Poland,POL,2024,917767106146.761
Portugal,PRT,2024,313271185085.102
Puerto Rico (US),PRI,2024,126029527033.705
Qatar,QAT,2024,219162637362.637
Romania,ROU,2024,382564217988.866
Russian Federation,RUS,2024,2173835806671.66
Rwanda,RWA,2024,14251642235.0968
Samoa,WSM,2024,1175749785.65113
Sao Tome and Principe,STP,2024,822154621.088897
Saudi Arabia,SAU,2024,1239804533333.33
Senegal,SEN,2024,32808056600.9436
Serbia,SRB,2024,90097765959.1114
Seychelles,SYC,2024,2167239562.46013
Sierra Leone,SLE,2024,6971127235.3123
Singapore,SGP,2024,547386645891.847
Sint Maarten (Dutch part),SXM,2024,1797836665.95136
Slovak Republic,SVK,2024,140934076532.375
Slovenia,SVN,2024,72972015197.3859
Solomon Islands,SLB,2024,1583964703.75061
"Somalia, Fed. Rep.",SOM,2024,11967000000.0
South Africa,ZAF,2024,401144998373.585
Spain,ESP,2024,1725671652742.19
Sri Lanka,LKA,2024,98963185509.6499
St. Kitts and Nevis,KNA,2024,1122388888.88889
St. Lucia,LCA,2024,2549062962.96296
St. Vincent and the Grenadines,VCT,2024,1157207407.40741
Sudan,SDN,2024,49672435513.1126
Suriname,SUR,2024,4416775112.09627
Sweden,SWE,2024,603715224265.798
Switzerland,CHE,2024,936564198048.516
Tajikistan,TJK,2024,14204575548.5536
Tanzania,TZA,2024,78844405385.2195
Thailand,THA,2024,526517658841.684
Timor-Leste,TLS,2024,1865608515.41321
Togo,TGO,2024,10651180146.531
Trinidad and Tobago,TTO,2024,25633544529.4849
Tunisia,TUN,2024,51332285656.5422
Turkiye,TUR,2024,1359123768774.12
Turkmenistan,TKM,2024,51387209872.2994
Turks and Caicos Islands,TCA,2024,1745378000.0
Uganda,UGA,2024,53911907086.1525
Ukraine,UKR,2024,190741262414.705
United Arab Emirates,ARE,2024,552324846834.581
United Kingdom,GBR,2024,3686033044482.13
United States,USA,2024,28750956130731.2
Uruguay,URY,2024,80961511073.5797
Uzbekistan,UZB,2024,114965293466.611
Vanuatu,VUT,2024,1117972034.22642
"Venezuela, RB",VEN,2024,119802963257.783
Viet Nam,VNM,2024,476388230307.175
West Bank and Gaza,PSE,2024,13711100000.0
Zambia,ZMB,2024,25303185342.2511
Zimbabwe,ZWE,2024,41539411516.4448
